COMPONENT PM10 (aerosol), day
STATION PIREAUS-1
20120812 00:00,-9999,0
20120813 00:00,-9999,0
20120814 00:00,-9999,0
20120815 00:00,-9999,0
20120816 00:00,-9999,0
20120817 00:00,-9999,0
20120818 00:00,-9999,0
20120819 00:00,-9999,0
20120820 00:00,-9999,0
20120821 00:00,-9999,0
20120822 00:00,-9999,0
20120823 00:00,-9999,0
20120824 00:00,-9999,0
20120825 00:00,-9999,0
20120826 00:00,-9999,0
20120827 00:00,-9999,0
20120828 00:00,-9999,0
20120829 00:00,-9999,0
20120830 00:00,-9999,0
20120831 00:00,-9999,0
20120901 00:00,-9999,0
20120902 00:00,-9999,0
20120903 00:00,-9999,0
20120904 00:00,-9999,0
20120905 00:00,-9999,0
20120906 00:00,-9999,0
20120907 00:00,-9999,0
20120908 00:00,-9999,0
20120909 00:00,-9999,0
20120910 00:00,-9999,0
20120911 00:00,-9999,0
20120912 00:00,-9999,0
20120913 00:00,-9999,0
20120914 00:00,-9999,0
20120915 00:00,-9999,0
20120916 00:00,-9999,0
20120917 00:00,-9999,0
20120918 00:00,-9999,0
20120919 00:00,-9999,0
20120920 00:00,-9999,0
20120921 00:00,-9999,0
20120922 00:00,-9999,0
20120923 00:00,-9999,0
20120924 00:00,-9999,0
20120925 00:00,48,1
20120926 00:00,59,1
20120927 00:00,51,1
20120928 00:00,54,1
20120929 00:00,39,1
20120930 00:00,36,1
20121001 00:00,47,1
20121002 00:00,56,1
20121003 00:00,49,1
20121004 00:00,39,1
20121005 00:00,47,1
20121006 00:00,40,1
20121007 00:00,36,1
20121008 00:00,35,1
20121009 00:00,45,1
20121010 00:00,39,1
20121011 00:00,36,1
20121012 00:00,33,1
20121013 00:00,30,1
20121014 00:00,29,1
20121015 00:00,32,1
20121016 00:00,34,1
20121017 00:00,47,1
20121018 00:00,40,1
20121019 00:00,34,1
20121020 00:00,32,1
20121021 00:00,26,1
20121022 00:00,24,1
20121023 00:00,22,1
20121024 00:00,32,1
20121025 00:00,45,1
20121026 00:00,54,1
20121027 00:00,41,1
20121028 00:00,38,1
20121029 00:00,48,1
20121030 00:00,24,1
20121031 00:00,31,1
20121101 00:00,41,1
20121102 00:00,55,1
20121103 00:00,38,1
20121104 00:00,34,1
20121105 00:00,35,1
20121106 00:00,31,1
20121107 00:00,-9999,0
20121108 00:00,22,1
20121109 00:00,26,1
20121110 00:00,29,1
20121111 00:00,27,1
20121112 00:00,-9999,0
20121113 00:00,-9999,0
20121114 00:00,-9999,0
20121115 00:00,-9999,0
20121116 00:00,-9999,0
20121117 00:00,-9999,0
20121118 00:00,-9999,0
20121119 00:00,-9999,0
20121120 00:00,-9999,0
20121121 00:00,-9999,0
20121122 00:00,-9999,0
20121123 00:00,-9999,0
20121124 00:00,-9999,0
20121125 00:00,-9999,0
20121126 00:00,-9999,0
20121127 00:00,-9999,0
20121128 00:00,-9999,0
20121129 00:00,-9999,0
20121130 00:00,-9999,0
20121201 00:00,-9999,0
20121202 00:00,-9999,0
20121203 00:00,-9999,0
20121204 00:00,-9999,0
20121205 00:00,-9999,0
20121206 00:00,-9999,0
20121207 00:00,-9999,0
20121208 00:00,-9999,0
20121209 00:00,-9999,0
20121210 00:00,-9999,0
20121211 00:00,-9999,0
20121212 00:00,-9999,0
20121213 00:00,-9999,0
20121214 00:00,-9999,0
20121215 00:00,-9999,0
20121216 00:00,-9999,0
20121217 00:00,-9999,0
20121218 00:00,-9999,0
20121219 00:00,-9999,0
20121220 00:00,-9999,0
20121221 00:00,-9999,0
20121222 00:00,-9999,0
20121223 00:00,-9999,0
20121224 00:00,-9999,0
20121225 00:00,-9999,0
20121226 00:00,-9999,0
20121227 00:00,-9999,0
20121228 00:00,-9999,0
20121229 00:00,-9999,0
20121230 00:00,-9999,0
20121231 00:00,-9999,0
