COMPONENT PM10 (aerosol), day
STATION AGIA SOFIA
20100813 00:00,83,1
20100814 00:00,73,1
20100815 00:00,61,1
20100816 00:00,63,1
20100817 00:00,67,1
20100818 00:00,61,1
20100819 00:00,65,1
20100820 00:00,57,1
20100821 00:00,41,1
20100822 00:00,34,1
20100823 00:00,36,1
20100824 00:00,43,1
20100825 00:00,54,1
20100826 00:00,61,1
20100827 00:00,54,1
20100828 00:00,52,1
20100829 00:00,50,1
20100830 00:00,47,1
20100831 00:00,52,1
20100901 00:00,36,1
20100902 00:00,24,1
20100903 00:00,34,1
20100904 00:00,38,1
20100905 00:00,35,1
20100906 00:00,37,1
20100907 00:00,46,1
20100908 00:00,47,1
20100909 00:00,51,1
20100910 00:00,43,1
20100911 00:00,34,1
20100912 00:00,31,1
20100913 00:00,37,1
20100914 00:00,43,1
20100915 00:00,60,1
20100916 00:00,68,1
20100917 00:00,70,1
20100918 00:00,67,1
20100919 00:00,50,1
20100920 00:00,39,1
20100921 00:00,41,1
20100922 00:00,39,1
20100923 00:00,35,1
20100924 00:00,36,1
20100925 00:00,45,1
20100926 00:00,29,1
20100927 00:00,49,1
20100928 00:00,38,1
20100929 00:00,33,1
20100930 00:00,24,1
20101001 00:00,33,1
20101002 00:00,33,1
20101003 00:00,32,1
20101004 00:00,26,1
20101005 00:00,37,1
20101006 00:00,32,1
20101007 00:00,20,1
20101008 00:00,37,1
20101009 00:00,36,1
20101010 00:00,49,1
20101011 00:00,73,1
20101012 00:00,35,1
20101013 00:00,32,1
20101014 00:00,40,1
20101015 00:00,33,1
20101016 00:00,27,1
20101017 00:00,51,1
20101018 00:00,25,1
20101019 00:00,28,1
20101020 00:00,35,1
20101021 00:00,48,1
20101022 00:00,32,1
20101023 00:00,37,1
20101024 00:00,40,1
20101025 00:00,56,1
20101026 00:00,43,1
20101027 00:00,37,1
20101028 00:00,20,1
20101029 00:00,32,1
20101030 00:00,54,1
20101031 00:00,57,1
20101101 00:00,72,1
20101102 00:00,71,1
20101103 00:00,72,1
20101104 00:00,87,1
20101105 00:00,110,1
20101106 00:00,105,1
20101107 00:00,85,1
20101108 00:00,66,1
20101109 00:00,47,1
20101110 00:00,215,1
20101111 00:00,257,1
20101112 00:00,147,1
20101113 00:00,97,1
20101114 00:00,86,1
20101115 00:00,94,1
20101116 00:00,74,1
20101117 00:00,62,1
20101118 00:00,54,1
20101119 00:00,56,1
20101120 00:00,69,1
20101121 00:00,53,1
20101122 00:00,36,1
20101123 00:00,47,1
20101124 00:00,21,1
20101125 00:00,44,1
20101126 00:00,30,1
20101127 00:00,57,1
20101128 00:00,57,1
20101129 00:00,150,1
20101130 00:00,67,1
20101201 00:00,144,1
20101202 00:00,83,1
20101203 00:00,56,1
20101204 00:00,38,1
20101205 00:00,44,1
20101206 00:00,67,1
20101207 00:00,82,1
20101208 00:00,82,1
20101209 00:00,93,1
20101210 00:00,27,1
20101211 00:00,28,1
20101212 00:00,65,1
20101213 00:00,28,1
20101214 00:00,36,1
20101215 00:00,33,1
20101216 00:00,44,1
20101217 00:00,84,1
20101218 00:00,106,1
20101219 00:00,77,1
20101220 00:00,53,1
20101221 00:00,85,1
20101222 00:00,84,1
20101223 00:00,98,1
20101224 00:00,80,1
20101225 00:00,44,1
20101226 00:00,54,1
20101227 00:00,49,1
20101228 00:00,35,1
20101229 00:00,46,1
20101230 00:00,54,1
20101231 00:00,72,1
